,team1,team2,toss_winner,toss_decision,winner
0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad
1,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
2,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
3,Rising Pune Supergiant,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
4,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
5,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
6,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
7,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab
8,Delhi Daredevils,Rising Pune Supergiant,Rising Pune Supergiant,field,Delhi Daredevils
9,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
10,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
11,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
12,Rising Pune Supergiant,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
13,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders
14,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils
15,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
16,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant
17,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders
18,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
19,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore
20,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad
21,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
22,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
23,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
24,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
25,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab
26,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders
27,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant
28,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
29,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
30,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
31,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad
32,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant
33,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians
34,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab
35,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad
36,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians
37,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
38,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
39,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
40,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
41,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab
42,Rising Pune Supergiant,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rising Pune Supergiant
43,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
44,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
45,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions
46,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Sunrisers Hyderabad
47,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kings XI Punjab
48,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
49,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab
50,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,Delhi Daredevils
51,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad
52,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians
53,Kings XI Punjab,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant
54,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,Royal Challengers Bangalore
55,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant
56,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
57,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
58,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,bat,Mumbai Indians
